;Step;AgentID;Position;Speed;latSpeed;ID;desSpeed;srLength;srWidth;crLength;Position_x;Position_y
0;6;1;[0, 1];3.537456976449605;0.0;1;3.537456976449605;3.537456976449605;0.17687284882248025;17.687284882248026;0.0;1.0
1;7;1;[0.707491395289921, 1.0277946989549787];3.537456976449605;0.13897349477489307;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;0.707491395289921;1.0277946989549787
2;8;1;[1.414982790579842, 1.0500304581189615];3.537456976449605;0.11117879581991441;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;1.414982790579842;1.0500304581189615
3;9;1;[2.122474185869763, 1.0678190654501478];3.537456976449605;0.08894303665593162;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;2.122474185869763;1.0678190654501478
4;10;1;[2.829965581159684, 1.082049951315097];3.537456976449605;0.07115442932474525;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;2.829965581159684;1.082049951315097
5;11;1;[3.537456976449605, 1.0934346600070561];3.537456976449605;0.05692354345979611;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;3.537456976449605;1.0934346600070561
6;11;2;[0, 1];6.055098475906457;0.0;2;6.055098475906457;6.055098475906457;0.30275492379532287;30.27549237953228;0.0;1.0
7;12;1;[4.244948371739526, 1.1025424269606234];3.537456976449605;0.04553883476783693;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;4.244948371739526;1.1025424269606234
8;12;2;[1.2110196951812915, 1.1];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;1.2110196951812915;1.1
9;13;1;[4.952439767029447, 1.1098286405234774];3.537456976449605;0.036431067814269635;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;4.952439767029447;1.1098286405234774
10;13;2;[2.422039390362583, 1.2000000000000002];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;2.422039390362583;1.2000000000000002
11;14;1;[5.659931162319368, 1.1156576113737606];3.537456976449605;0.029144854251415664;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;5.659931162319368;1.1156576113737606
12;14;2;[3.6330590855438745, 1.3000000000000003];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;3.6330590855438745;1.3000000000000003
13;15;1;[6.367422557609289, 1.1203207880539872];3.537456976449605;0.023315883401132442;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;6.367422557609289;1.1203207880539872
14;15;2;[4.844078780725166, 1.4000000000000004];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;4.844078780725166;1.4000000000000004
15;16;1;[7.07491395289921, 1.1240513293981684];3.537456976449605;0.01865270672090591;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;7.07491395289921;1.1240513293981684
16;16;2;[6.0550984759064574, 1.5000000000000004];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;6.0550984759064574;1.5000000000000004
17;16;3;[0, 1];4.981740348367763;0.0;3;4.981740348367763;4.981740348367763;0.24908701741838818;24.90870174183882;0.0;1.0
18;17;1;[7.782405348189131, 1.1270357624735134];3.537456976449605;0.014922165376724639;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;7.782405348189131;1.1270357624735134
19;17;2;[7.266118171087749, 1.6000000000000005];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;7.266118171087749;1.6000000000000005
20;17;3;[0.9963480696735527, 1.0540587583494854];4.981740348367763;0.2702937917474273;3;4.981740348367763;5.981740348367763;0.6490870174183883;24.90870174183882;0.9963480696735527;1.0540587583494854
21;18;1;[8.489896743479052, 1.1294233089337893];3.537456976449605;0.011937732301379622;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;8.489896743479052;1.1294233089337893
22;18;2;[8.47713786626904, 1.7000000000000006];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;8.47713786626904;1.7000000000000006
23;18;3;[1.9926961393471054, 1.108244552675486];4.981740348367763;0.27092897163000357;3;4.981740348367763;5.981740348367763;0.6490870174183883;24.90870174183882;1.9926961393471054;1.108244552675486
24;19;1;[9.197388138768973, 1.13133334610201];3.537456976449605;0.009550185841103787;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;9.197388138768973;1.13133334610201
25;19;2;[9.688157561450332, 1.8000000000000007];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;9.688157561450332;1.8000000000000007
26;19;3;[2.9890442090206584, 1.162536494059654];4.981740348367763;0.27145970692084026;3;4.981740348367763;5.981740348367763;0.6490870174183883;24.90870174183882;2.9890442090206584;1.162536494059654
27;20;1;[9.904879534058894, 1.1328613758365866];3.537456976449605;0.007640148672882985;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;9.904879534058894;1.1328613758365866
28;20;2;[10.899177256631624, 1.7600000000000007];6.055098475906457;-0.2;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;10.899177256631624;1.7600000000000007
29;20;3;[3.985392278694211, 1.2169173040681454];4.981740348367763;0.2719040500424558;3;4.981740348367763;5.981740348367763;0.6490870174183883;24.90870174183882;3.985392278694211;1.2169173040681454
30;21;1;[10.612370929348815, 1.1340837996242479];3.537456976449605;0.006112118938306432;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;10.612370929348815;1.1340837996242479
31;21;2;[12.110196951812917, 1.7200000000000006];6.055098475906457;-0.2;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;12.110196951812917;1.7200000000000006
32;21;3;[4.981740348367763, 1.271372678235397];4.981740348367763;0.27227687083625773;3;4.981740348367763;5.981740348367763;0.6490870174183883;24.90870174183882;4.981740348367763;1.271372678235397
33;21;4;[0, 1];5.606371890891052;0.0;4;5.606371890891052;5.606371890891052;0.2803185945445526;28.031859454455258;0.0;1.0
34;22;1;[11.319862324638736, 1.1350617386543769];3.537456976449605;0.00488969515064519;1;3.537456976449605;4.537456976449604;0.5768728488224802;17.687284882248026;11.319862324638736;1.1350617386543769
35;22;2;[13.321216646994209, 1.6800000000000006];6.055098475906457;-0.2;2;6.055098475906457;7.055098475906457;0.7027549237953229;30.27549237953228;13.321216646994209;1.6800000000000006
