;Step;AgentID;Position;Speed;latSpeed;ID;desSpeed;srLength;srWidth;crLength;Position_x;Position_y
0;3;1;[0, 1];3.537456976449605;0.0;1;3.537456976449605;3.537456976449605;0.17687284882248025;10.612370929348815;0.0;1.0
1;4;1;[1.7687284882248024, 1.0694867473874465];3.537456976449605;0.13897349477489307;1;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;1.7687284882248024;1.0694867473874465
2;5;1;[3.537456976449605, 1.1042301210811698];3.537456976449605;0.06948674738744653;1;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;3.537456976449605;1.1042301210811698
3;5;2;[0, 1];6.055098475906457;0.0;2;6.055098475906457;6.055098475906457;0.30275492379532287;18.16529542771937;0.0;1.0
4;6;1;[5.3061854646744075, 1.1216018079280314];3.537456976449605;0.03474337369372327;1;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;5.3061854646744075;1.1216018079280314
5;6;2;[3.0275492379532283, 1.25];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;18.16529542771937;3.0275492379532283;1.25
6;7;1;[7.07491395289921, 1.1302876513514621];3.537456976449605;0.017371686846861634;1;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;7.07491395289921;1.1302876513514621
7;7;2;[6.055098475906457, 1.5];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;18.16529542771937;6.055098475906457;1.5
8;7;3;[0, 1];4.981740348367763;0.0;3;4.981740348367763;4.981740348367763;0.24908701741838818;14.94522104510329;0.0;1.0
9;8;1;[8.843642441124013, 1.1346305730631776];3.537456976449605;0.008685843423430928;1;3.537456976449605;4.537456976449604;0.5768728488224802;10.612370929348815;8.843642441124013;1.1346305730631776
10;8;2;[9.082647713859686, 1.75];6.055098475906457;0.5;2;6.055098475906457;7.055098475906457;0.7027549237953229;18.16529542771937;9.082647713859686;1.75
11;8;3;[2.4908701741838817, 1.1357834418556885];4.981740348367763;0.27156688371137677;3;4.981740348367763;5.981740348367763;0.6490870174183883;14.94522104510329;2.4908701741838817;1.1357834418556885
